COMMUNE;ARM;IRIS;ACHL;AEMM;AEMMR;AGEMEN8;ANEM;ANEMR;ASCEN;BAIN;BATI;CATIRIS;CATL;CHAU;CHFL;CHOS;CLIM;CMBL;CUIS;DEROU;DIPLM_15;EAU;EGOUL;ELEC;EMPLM;GARL;HLML;ILETUDM;ILTM;IMMIM;INAIM;INEEM;INP11M;INP16M;INP18M;INP19M;INP24M;INP3M;INP60M;INP65M;INP6M;INP75M;INPAM;INPER;INPER1;INPER2;INPOM;INPSM;IPONDL;IRANM;METRODOM;NBPI;RECHM;REGION;REGION2016;SANI;SANIDOM;SEXEM;STAT_CONJM;STOCD;SURF;TACTM;TPM;TRANSM;TRIRIS;TYPC;TYPL;VOIT;WC
77288;ZZZZZ;772880101;211;2008;9;40;007;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;2;1;Z;2;1;6;0;1;1;1;4;3;0;0;0;0;0;4;5;4;1;3;1;4.21709488957678;1;M;05;Z;11;11;2;ZZ;1;A;22;5;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;1978;6;65;036;05;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;1;1;Z;Z;2;3;0;0;0;0;2;0;0;1;1;0;1;0;2;1;1;0;0;3.06676214624127;1;M;03;0;11;11;2;ZZ;2;B;22;4;21;Z;Z;770291;3;2;1;Z
77288;ZZZZZ;772880101;212;2001;9;40;014;03;1;Z;Z;H;1;Z;1;Z;Z;1;Z;Z;A;Z;Z;Z;16;2;1;Z;2;1;6;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;4.21709488957678;1;M;02;Z;11;11;2;ZZ;1;A;22;3;11;1;4;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;2014;9;25;000;00;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;2;1;Z;2;1;6;0;2;2;2;2;2;2;0;0;2;0;1;4;2;2;1;0;3.06676214624127;2;M;04;Z;11;11;2;ZZ;1;A;22;4;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2005;9;40;010;03;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;16;1;1;Z;2;1;6;1;1;3;3;2;3;0;0;0;0;0;2;5;3;2;1;3;4.21709488957678;1;M;06;Z;11;11;1;ZZ;1;A;22;5;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;2011;9;25;003;01;1;Z;Z;H;1;Z;1;Z;Z;6;Z;Z;C;Z;Z;Z;15;2;1;Z;3;2;1;0;1;1;1;3;1;0;0;0;1;0;2;4;3;1;1;1;3.06676214624127;1;M;04;Z;11;11;2;ZZ;1;B;22;4;11;1;4;770291;3;2;0;Z
77288;ZZZZZ;772880101;211;2008;9;25;007;02;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;C;Z;Z;Z;16;1;1;Z;2;2;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;4.21709488957678;1;M;02;Z;11;11;2;ZZ;2;B;22;3;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;211;1974;6;80;040;06;1;Z;Z;H;1;Z;1;Z;Z;2;Z;Z;A;Z;Z;Z;ZZ;2;1;Z;Z;2;3;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;3.06676214624127;1;M;04;0;11;11;2;ZZ;2;B;22;4;21;Z;Z;770291;3;2;0;Z
77288;ZZZZZ;772880101;311;1998;8;40;015;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;A;Z;Z;Z;16;1;2;Z;3;2;1;1;0;1;1;2;2;0;0;0;0;0;2;3;2;1;1;1;1.02168454788425;1;M;04;Z;11;11;2;ZZ;2;B;10;4;11;1;5;770291;3;2;1;Z
77288;ZZZZZ;772880101;315;2009;9;25;002;01;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;B;Z;Z;Z;16;1;2;Z;3;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.02168454788425;1;M;02;Z;11;11;2;ZZ;1;B;10;3;11;1;4;770291;3;2;1;Z
77288;ZZZZZ;772880101;311;2000;9;25;013;03;2;Z;Z;H;1;Z;3;Z;Z;4;Z;Z;C;Z;Z;Z;16;1;2;Z;2;2;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1.02168454788425;1;M;02;Z;11;11;2;ZZ;1;B;21;3;11;1;4;770291;3;2;1;Z
